timestamp,country,energy_type,generation_MW
2022-01-02 05:00:00+00:00,Sweden,Wind,5394.0
2022-01-02 06:00:00+00:00,Sweden,Hydro,6597.0
2022-01-02 06:00:00+00:00,Sweden,Solar,0.0
2022-01-02 06:00:00+00:00,Sweden,Wind,5004.0
2022-01-02 07:00:00+00:00,Sweden,Hydro,7221.0
2022-01-02 07:00:00+00:00,Sweden,Solar,0.0
2022-01-02 07:00:00+00:00,Sweden,Wind,4738.0
2022-01-02 08:00:00+00:00,Sweden,Hydro,8378.0
2022-01-02 08:00:00+00:00,Sweden,Solar,0.0
2022-01-02 08:00:00+00:00,Sweden,Wind,4387.0
2022-01-02 09:00:00+00:00,Sweden,Hydro,8845.0
2022-01-02 09:00:00+00:00,Sweden,Solar,3.0
2022-01-02 09:00:00+00:00,Sweden,Wind,4095.0
2022-01-02 10:00:00+00:00,Sweden,Hydro,9036.0
2022-01-02 10:00:00+00:00,Sweden,Solar,5.0
2022-01-02 10:00:00+00:00,Sweden,Wind,3771.0
2022-01-02 11:00:00+00:00,Sweden,Hydro,9129.0
2022-01-02 11:00:00+00:00,Sweden,Solar,5.0
2022-01-02 11:00:00+00:00,Sweden,Wind,3636.0
2022-01-02 12:00:00+00:00,Sweden,Hydro,9257.0
2022-01-02 12:00:00+00:00,Sweden,Solar,3.0
2022-01-02 12:00:00+00:00,Sweden,Wind,3356.0
2022-01-02 13:00:00+00:00,Sweden,Hydro,9462.0
2022-01-02 13:00:00+00:00,Sweden,Solar,1.0
2022-01-02 13:00:00+00:00,Sweden,Wind,3092.0
2022-01-02 14:00:00+00:00,Sweden,Hydro,9711.0
2022-01-02 14:00:00+00:00,Sweden,Solar,0.0
2022-01-02 14:00:00+00:00,Sweden,Wind,2810.0
2022-01-02 15:00:00+00:00,Sweden,Hydro,9776.0
2022-01-02 15:00:00+00:00,Sweden,Solar,0.0
2022-01-02 15:00:00+00:00,Sweden,Wind,2604.0
2022-01-02 16:00:00+00:00,Sweden,Hydro,9904.0
2022-01-02 16:00:00+00:00,Sweden,Solar,0.0
2022-01-02 16:00:00+00:00,Sweden,Wind,2462.0
2022-01-02 17:00:00+00:00,Sweden,Hydro,9770.0
2022-01-02 17:00:00+00:00,Sweden,Solar,0.0
