timestamp,country,energy_type,generation_MW
2022-01-02 11:00:00+00:00,France,Solar,2516
2022-01-02 11:00:00+00:00,France,Wind,9289
2022-01-02 12:00:00+00:00,France,Hydro,8264
2022-01-02 12:00:00+00:00,France,Solar,2620
2022-01-02 12:00:00+00:00,France,Wind,9867
2022-01-02 13:00:00+00:00,France,Hydro,9620
2022-01-02 13:00:00+00:00,France,Solar,2296
2022-01-02 13:00:00+00:00,France,Wind,9872
2022-01-02 14:00:00+00:00,France,Hydro,9290
2022-01-02 14:00:00+00:00,France,Solar,1472
2022-01-02 14:00:00+00:00,France,Wind,10222
2022-01-02 15:00:00+00:00,France,Hydro,8768
2022-01-02 15:00:00+00:00,France,Solar,562
2022-01-02 15:00:00+00:00,France,Wind,11028
2022-01-02 16:00:00+00:00,France,Hydro,6982
2022-01-02 16:00:00+00:00,France,Solar,246
2022-01-02 16:00:00+00:00,France,Wind,11762
2022-01-02 17:00:00+00:00,France,Hydro,8140
2022-01-02 17:00:00+00:00,France,Solar,0
2022-01-02 17:00:00+00:00,France,Wind,12092
2022-01-02 18:00:00+00:00,France,Hydro,8324
2022-01-02 18:00:00+00:00,France,Solar,0
2022-01-02 18:00:00+00:00,France,Wind,12157
2022-01-02 19:00:00+00:00,France,Hydro,7668
2022-01-02 19:00:00+00:00,France,Solar,0
2022-01-02 19:00:00+00:00,France,Wind,12192
2022-01-02 20:00:00+00:00,France,Hydro,8956
2022-01-02 20:00:00+00:00,France,Solar,0
2022-01-02 20:00:00+00:00,France,Wind,11882
2022-01-02 21:00:00+00:00,France,Hydro,9600
2022-01-02 21:00:00+00:00,France,Solar,0
2022-01-02 21:00:00+00:00,France,Wind,11353
2022-01-02 22:00:00+00:00,France,Hydro,9538
2022-01-02 22:00:00+00:00,France,Solar,0
2022-01-02 22:00:00+00:00,France,Wind,10914
2022-01-02 23:00:00+00:00,France,Hydro,8821
2022-01-02 23:00:00+00:00,France,Solar,0
2022-01-02 23:00:00+00:00,France,Wind,10385
2022-01-03 00:00:00+00:00,France,Hydro,7473
2022-01-03 00:00:00+00:00,France,Solar,0
2022-01-03 00:00:00+00:00,France,Wind,9951
2022-01-03 01:00:00+00:00,France,Hydro,7120
2022-01-03 01:00:00+00:00,France,Solar,0
2022-01-03 01:00:00+00:00,France,Wind,9492
2022-01-03 02:00:00+00:00,France,Hydro,7250
2022-01-03 02:00:00+00:00,France,Solar,0
2022-01-03 02:00:00+00:00,France,Wind,9085
2022-01-03 03:00:00+00:00,France,Hydro,7870
2022-01-03 03:00:00+00:00,France,Solar,0
2022-01-03 03:00:00+00:00,France,Wind,8979
2022-01-03 04:00:00+00:00,France,Hydro,7132
2022-01-03 04:00:00+00:00,France,Solar,0
2022-01-03 04:00:00+00:00,France,Wind,8833
2022-01-03 05:00:00+00:00,France,Hydro,6375
2022-01-03 05:00:00+00:00,France,Solar,0
2022-01-03 05:00:00+00:00,France,Wind,8659
2022-01-03 06:00:00+00:00,France,Hydro,7773
2022-01-03 06:00:00+00:00,France,Solar,0
2022-01-03 06:00:00+00:00,France,Wind,8428
2022-01-03 07:00:00+00:00,France,Hydro,9030
2022-01-03 07:00:00+00:00,France,Solar,267
2022-01-03 07:00:00+00:00,France,Wind,8339
2022-01-03 08:00:00+00:00,France,Hydro,9113
2022-01-03 08:00:00+00:00,France,Solar,716
2022-01-03 08:00:00+00:00,France,Wind,8333
2022-01-03 09:00:00+00:00,France,Hydro,8219
2022-01-03 09:00:00+00:00,France,Solar,1661
2022-01-03 09:00:00+00:00,France,Wind,8445
2022-01-03 10:00:00+00:00,France,Hydro,7818
2022-01-03 10:00:00+00:00,France,Solar,2471
2022-01-03 10:00:00+00:00,France,Wind,8855
2022-01-03 11:00:00+00:00,France,Hydro,8250
2022-01-03 11:00:00+00:00,France,Solar,2912
2022-01-03 11:00:00+00:00,France,Wind,8946
2022-01-03 12:00:00+00:00,France,Hydro,8472
2022-01-03 12:00:00+00:00,France,Solar,2982
2022-01-03 12:00:00+00:00,France,Wind,9041
2022-01-03 13:00:00+00:00,France,Hydro,7932
2022-01-03 13:00:00+00:00,France,Solar,2525
2022-01-03 13:00:00+00:00,France,Wind,9109
2022-01-03 14:00:00+00:00,France,Hydro,7787
2022-01-03 14:00:00+00:00,France,Solar,1585
2022-01-03 14:00:00+00:00,France,Wind,8743
2022-01-03 15:00:00+00:00,France,Hydro,8328
2022-01-03 15:00:00+00:00,France,Solar,608
2022-01-03 15:00:00+00:00,France,Wind,8140
2022-01-03 16:00:00+00:00,France,Hydro,9351
2022-01-03 16:00:00+00:00,France,Solar,242
2022-01-03 16:00:00+00:00,France,Wind,7959
2022-01-03 17:00:00+00:00,France,Hydro,11247
2022-01-03 17:00:00+00:00,France,Solar,0
2022-01-03 17:00:00+00:00,France,Wind,7208
2022-01-03 18:00:00+00:00,France,Hydro,12368
2022-01-03 18:00:00+00:00,France,Solar,0
2022-01-03 18:00:00+00:00,France,Wind,6614
2022-01-03 19:00:00+00:00,France,Hydro,10514
2022-01-03 19:00:00+00:00,France,Solar,0
2022-01-03 19:00:00+00:00,France,Wind,6943
2022-01-03 20:00:00+00:00,France,Hydro,8537
2022-01-03 20:00:00+00:00,France,Solar,0
2022-01-03 20:00:00+00:00,France,Wind,7043
2022-01-03 21:00:00+00:00,France,Hydro,7349
2022-01-03 21:00:00+00:00,France,Solar,0
2022-01-03 21:00:00+00:00,France,Wind,7118
